Product Name,Product Price,Product Code,Product Link,Category
Coles Hass Avocados | 1 each,$1.50,5900530,coles.com.au/product/coles-hass-avocados-1-each-5900530,Specials
Smith's Crinkle Cut Salt And Vinegar Potato Chips | 170g,$4.80,2358286,coles.com.au/product/smith's-crinkle-cut-salt-and-vinegar-potato-chips-170g-2358286,Specials
Radiant Odour Removal Laundry Liquid Washing Detergent | 1.8L,$10.00,4317508,coles.com.au/product/radiant-odour-removal-laundry-liquid-washing-detergent-1.8l-4317508,Specials
Radiant Whites Or Colours Laundry Powder Washing Detergent | 1kg,$5.50,4144080,coles.com.au/product/radiant-whites-or-colours-laundry-powder-washing-detergent-1kg-4144080,Specials
Smith's Crinkle Cut Cheese & Onion Potato Chips | 170g,$4.80,2358297,coles.com.au/product/smith's-crinkle-cut-cheese-and-onion-potato-chips-170g-2358297,Specials
Smith's Crinkle Cut Original Potato Chips | 170g,$4.80,2358275,coles.com.au/product/smith's-crinkle-cut-original-potato-chips-170g-2358275,Specials
Radiant Blacks & Darks Laundry Liquid Black Wash Detergent | 1L,$5.50,3196667,coles.com.au/product/radiant-blacks-and-darks-laundry-liquid-black-wash-detergent-1l-3196667,Specials
St Hugo GSM 750mL | 1 Each,$45.00,9197571,coles.com.au/product/st-hugo-gsm-750ml-1-each-9197571,Specials
Fresh Strawberries Prepacked | 250g,$3.90,5191256,coles.com.au/product/fresh-strawberries-prepacked-250g-5191256,Specials
Golden Round Crumpets | 6 pack,$2.20,332383,coles.com.au/product/golden-round-crumpets-6-pack-332383,Specials
Nestle KitKat Milk Chocolate Bar | 45g,$1.10,136512,coles.com.au/product/nestle-kitkat-milk-chocolate-bar-45g-136512,Specials
Coles Imperial Mandarins Medium | approx 80g,$0.23,409750,coles.com.au/product/coles-imperial-mandarins-medium-approx.-80g-409750,Specials
Coca-Cola Zero Sugar Soft Drink Multipack Cans 24x375mL | 24 pack,$33.35,2993740,coles.com.au/product/coca-cola-zero-sugar-soft-drink-multipack-cans-24x375ml-24-pack-2993740,Specials
Coca-Cola Cola Soft Drink 24x375mL | 24 pack,$33.35,7365777,coles.com.au/product/coca-cola-cola-soft-drink-24x375ml-24-pack-7365777,Specials
Coles Broccoli | approx 340g,$1.16,407755,coles.com.au/product/coles-broccoli-approx.-340g-each-407755,Specials
Cadbury Dairy Milk Chocolate Block | 180g,$2.75,2351709,coles.com.au/product/cadbury-dairy-milk-chocolate-block-180g-2351709,Specials
Nestle KitKat Chunky Milk Chocolate Bar | 50g,$1.10,2026118,coles.com.au/product/nestle-kitkat-chunky-milk-chocolate-bar-50g-2026118,Specials
Snickers Chocolate Bar Peanuts Caramel Nougat | 44g,$1.10,245868,coles.com.au/product/snickers-chocolate-bar-peanuts-caramel-nougat-44g-245868,Specials
Powerade ION4 Mountain Blast Sports Drink Sipper Cap | 600mL,$3.85,1726056,coles.com.au/product/powerade-ion4-mountain-blast-sports-drink-sipper-cap-600ml-1726056,Specials
Golden Wholemeal Crumpets 6 Pack | 300g,$2.20,292223,coles.com.au/product/golden-wholemeal-crumpets-6-pack-300g-292223,Specials
Cadbury  Dairy Milk Hazelnut Chocolate Block | 180g,$2.75,2351720,coles.com.au/product/cadbury-dairy-milk-hazelnut-chocolate-block-180g-2351720,Specials
Mars Chocolate Bar with Nougat & Caramel | 47g,$1.10,138201,coles.com.au/product/mars-chocolate-bar-with-nougat-and-caramel-47g-138201,Specials
Pascall Pink and White Marshmallows | 280g,$2.50,2351855,coles.com.au/product/pascall-pink-and-white-marshmallows-280g-2351855,Specials
Toblerone Milk Chocolate Gift Bar | 360g,$6.00,4660147,coles.com.au/product/toblerone-milk-chocolate-gift-bar-360g-4660147,Specials
Powerade ION4 Berry Ice Sports Drink Sipper Cap | 600mL,$3.85,1726001,coles.com.au/product/powerade-ion4-berry-ice-sports-drink-sipper-cap-600ml-1726001,Specials
Nestle KitKat Milkybar White Chocolate Bar | 45g,$1.10,6341900,coles.com.au/product/nestle-kitkat-milkybar-white-chocolate-bar-45g-6341900,Specials
The Natural Confectionery Co. Party Mix Lollies | 220g,$2.00,2351265,coles.com.au/product/the-natural-confectionery-co.-party-mix-lollies-220g-2351265,Specials
Nestle Aero Peppermint Chocolate Bar | 40g,$1.10,5823950,coles.com.au/product/nestle-aero-peppermint-chocolate-bar-40g-5823950,Specials
The Natural Confectionery Co. Sour Squirms Lollies | 220g,$2.00,2351254,coles.com.au/product/the-natural-confectionery-co.-sour-squirms-lollies-220g-2351254,Specials
Fairy Platinum Dishwashing Tablets | 41 pack,$47.00,3967315,coles.com.au/product/fairy-platinum-dishwashing-tablets-41-pack-3967315,Specials
The Natural Confectionery Co. Snakes Lollies | 230g,$2.00,5162429,coles.com.au/product/the-natural-confectionery-co.-snakes-lollies-230g-5162429,Specials
Coca-Cola Diet Coke Soft Drink 24x375mL | 24 pack,$33.35,4561203,coles.com.au/product/coca-cola-diet-coke-soft-drink-24x375ml-24-pack-4561203,Specials
Tostitos Lightly Salted Tortilla Chips | 175g,$5.20,3950593,coles.com.au/product/tostitos-lightly-salted-tortilla-chips-175g-3950593,Specials
Fairy Platinum Plus Dishwashing Tablets | 28 pack,$47.00,3967381,coles.com.au/product/fairy-platinum-plus-dishwashing-tablets-28-pack-3967381,Specials
Cadbury Dairy Milk Marvellous Creations Jelly Popping Candy Chocolate Block | 190g,$2.75,2898997,coles.com.au/product/cadbury-dairy-milk-marvellous-creations-jelly-popping-candy-chocolate-block-190g-2898997,Specials
Toblerone Milk Chocolate Bar | 50g,$1.00,5172284,coles.com.au/product/toblerone-milk-chocolate-bar-50g-5172284,Specials
The Natural Confectionery Co. Fruit Salad Soft Jellies | 220g,$2.00,2351232,coles.com.au/product/the-natural-confectionery-co.-fruit-salad-soft-jellies-220g-2351232,Specials
Sakata Plain Rice Crackers Gluten Free | 100g,$1.37,6878175,coles.com.au/product/sakata-plain-rice-crackers-gluten-free-100g-6878175,Specials
Cadbury Favourites Boxed Chocolate | 340g,$8.00,3571992,coles.com.au/product/cadbury-favourites-boxed-chocolate-340g-3571992,Specials
Sour Patch Kids Lollies | 190g,$2.00,5533950,coles.com.au/product/sour-patch-kids-lollies-190g-5533950,Specials
Sensodyne Sensitive Teeth Pain Repair & Protect Whitening Toothpaste | 100g,$12.30,9156257,coles.com.au/product/sensodyne-sensitive-teeth-pain-repair-and-protect-whitening-toothpaste-100g-9156257,Specials
Oral B Pro100 Crossaction Electric Toothbrush | 1 pack,$40.00,3401813,coles.com.au/product/oral-b-pro100-crossaction-electric-toothbrush-1-pack-3401813,Specials
Sakata Seaweed Rice Crackers Gluten Free | 90g,$1.37,6982406,coles.com.au/product/sakata-seaweed-rice-crackers-gluten-free-90g-6982406,Specials
Oral B Pro Health Advanced Deep Clean | 110g,$3.00,2621075,coles.com.au/product/oral-b-pro-health-advanced-deep-clean-110g-2621075,Specials
Cadbury Dairy Milk Fruit and Nut Chocolate Block  | 180g,$2.75,2351651,coles.com.au/product/cadbury-dairy-milk-fruit-and-nut-chocolate-block-180g-2351651,Specials
Oral B Pro 100 Gum Care Electric Toothbrush | 1 pack,$40.00,3411078,coles.com.au/product/oral-b-pro-100-gum-care-electric-toothbrush-1-pack-3411078,Specials
Oral B Pro 100 3D White Electric Toothbrush | 1 pack,$40.00,3985703,coles.com.au/product/oral-b-pro-100-3d-white-electric-toothbrush-1-pack-3985703,Specials
Cold Power Triple Caps Reg | 45 pack,$37.00,3989737,coles.com.au/product/cold-power-triple-caps-reg-45-pack-3989737,Specials
Tostitos Mild Cheddar Tortilla Chips | 175g,$5.20,3950618,coles.com.au/product/tostitos-mild-cheddar-tortilla-chips-175g-3950618,Specials
Mcvities Digestives Biscuits Plain | 355g,$2.20,6066602,coles.com.au/product/mcvities-digestives-biscuits-plain-355g-6066602,Specials
Cadbury Dairy Milk Slices Vanilla Passionfruit | 180g,$2.75,6544919,coles.com.au/product/cadbury-dairy-milk-slices-vanilla-passionfruit-180g-6544919,Specials
