name,fridge,freezer
"BEETS - FRESH, RAW",2 weeks,12-18 months
"ARUGULA (ROCKET) — FRESH, RAW",2-3 days,
"BEANS, SNAP, STRING OR WAX (GREEN OR YELLOW) - FRESH, COOKED",3-5 days,10-12 months
"CHEDDAR CHEESE, SHREDDED OR SLICED, COMMERCIALLY PACKAGED - OPENED PACKAGE",5-7 days,6-8 months (best quality)
"APRICOTS, CANDIED — UNOPENED OR OPENED PACKAGE",,
"BAKED BEANS, IN SAUCE (INCLUDING MOLASSES, BROWN SUGAR, TOMATO), COMMERCIALLY CANNED OR BOTTLED - UNOPENED",,
"APPLE CIDER, SOLD IN REFRIGERATED CARTON OR BOTTLE - UNOPENED",1 week after date on package,8-12 months
"AVOCADOS - FRESH, RAW, CUT UP",3-4 days,3-6 months
ASPARAGUS - COMMERCIALLY FROZEN,,10-12 months (best quality)
ARTICHOKES - COMMERCIALLY FROZEN,,10-12 months (best quality)
"BASIL - FRESH, RAW",,4-6 months
"ALMOND MILK, SOLD UNREFRIGERATED - UNOPENED",,
BEEF KIDNEYS — COOKED,3-4 days,2-3 months
"APPLES - FRESH, RAW, WHOLE",1-2 months,10-12 months
"ARTICHOKES - FRESH, COOKED",3-5 days,10-12 months
"BANANA EXTRACT, IMITATION, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",,
"ANCHOVY PASTE, COMMERCIALLY PACKAGED - OPENED",12 months,
"APPLE JUICE, COMMERCIALLY CANNED OR BOTTLED, SOLD UNREFRIGERATED - OPENED",7-10 days,8-12 months
"APPLE JUICE, SOLD IN REFRIGERATED CONTAINER - UNOPENED",1 week after date on package,8-12 months (best quality)
"BEEF LIVER - FRESH, RAW",1-2 days,3-4 months
"BLACK BEANS, COMMERCIALLY CANNED OR BOTTLED — OPENED",3-4 days,1-2 months
"BEETS - FRESH, COOKED",3-5 days,10-12 months
"BLACK PEPPER, CRACKED, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
"ANISE EXTRACT, PURE, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",,
"CAYENNE PEPPER, GROUND, DRIED, COMMERCIALLY BOTTLED OR PURCHASED IN BULK - UNOPENED OR OPENED",,
BACON FAT/ DRIPPINGS — HOMEMADE,6 months,6-9 months
"ABRUZZESE SAUSAGE, DRY, SOLD UNREFRIGERATED - UNOPENED PACKAGE",6 months,8-10 months
"BRICK CHEESE, SHREDDED OR SLICED, COMMERCIALLY PACKAGED - OPENED PACKAGE",5-7 days,6-8 months (best quality)
"BLUE CHEESE SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - OPENED",6-9 months (best quality),
"BANANA PEPPERS - FRESH, RAW, SLICED OR CHOPPED",2-3 days,10-12 months
"BEAN SOUP,  ALL TYPES - HOMEMADE",3-4 days,4-6 months
"ALFALFA SPROUTS - FRESH, RAW",2-3 days,
"BOURBON, COMMERCIALLY BOTTLED - UNOPENED OR OPENED BOTTLE",,
"BANANA LIQUEUR, COMMERCIALLY BOTTLED - UNOPENED OR OPENED",,
"BOURSAULT CHEESE, SOLD IN WRAPPED WEDGE - UNOPENED OR OPENED",1 week,
"CAESAR SALAD DRESSING, COMMERCIALLY BOTTLED, SOLD UNREFRIGERATED - UNOPENED",,
"APRICOTS — FRESH, RAW, CUT UP",3-4 days,10-12 months
"CLAM CHOWDER, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,
"BLUEFISH - FRESH, RAW",1-2 days,2-3 months
"APRICOT PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — OPENED",2 weeks,
"CATFISH - FRESH, RAW",1-2 days,6-8 months
"ARCTIC CHAR - FRESH, RAW",1-2 days,2-3 months
BAKING SODA — UNOPENED PACKAGE,,
BAKING SODA - OPENED PACKAGE,,
"BAKING CHIPS, VANILLA-FLAVORED  — UNOPENED OR OPENED PACKAGE",,
"APRICOT PIE FILLING, COMMERCIALLY CANNED OR BOTTLED — UNOPENED",,
"APRICOT JAM, COMMERCIALLY JARRED - UNOPENED",,
"BANANA CREAM PIE, FRESHLY BAKED - HOMEMADE OR BAKERY",3-4 days,
